torre,piso,tipo,ext,coordinador,nombre
A,0,Laboratorio,,Fran Daboin,Laboratorio demostrativo
A,0,Laboratorio,,,Laboratorio de Fisica I y II
A,0,Laboratorio,,,Laboratorio de Termodinámica
A,0,Oficina,,,Oficina GRINCEF
A,0,Laboratorio,,,Laboratorio de física
A,0,Sala,,,Sala de profesores
A,0,Laboratorio,,,Laboratorio de Fisica I
A,1,Laboratorio,,,Laboratorio de Genética y microbiología
A,1,Laboratorio,,,Laboratorio de Bioquímica
A,1,Laboratorio,,,Laboratorio de biología animal y humana
A,1,Laboratorio,,,Laboratorio de fisiología vegetal
A,1,Sala,,,Sala de secado
A,1,Sala,,,Sala de preparacion
A,1,Laboratorio,,,"Laboratorio de biología vegetal, botánica y morfoanatomía vegetal"
A,2,Laboratorio,,,Laboratorio de Química orgánica
A,2,Laboratorio,,,Laboratorio de quimica general
A,2,Sala,,,Sala de reactivos solidos
A,2,Sala,,,Sala de reactivos liquidos
A,2,Laboratorio,,,Laboratorio de quimica analítica
A,2,Sala,,,Sala de estudio
A,2,Sala,,,Sala de preparacion de reactivos
A,2,Laboratorio,,,Laboratorio de bioquimica
A,3,Laboratorio,,,Laboratorio de investigación de parásitos (LIEM)
A,3,Laboratorio,,,Laboratorio de análisis instrumental
A,3,Laboratorio,,,Laboratorio de quimica Ambiental
A,3,Laboratorio,,,Laboratorio de productos naturales
B,0,Aula,,,Aulas B0001-B008
B,1,Aula,,,Aulas B1001-B108
B,2,Aula,,,Aulas B2001-B208
B,3,Aula,,,Aulas B3001-B308
C,0,Oficina,,,"Oficina Area de mecánica, estructura y resistencia de materiales"
C,0,Laboratorio,,,Laboratorio de materiales y ensayos
C,0,Laboratorio,,,Laboratorio de topografía
C,0,Oficina,,,Oficina de Centro de copiado
C,0,Oficina,,,Oficina de Proveduría y papelería
C,0,Oficina,,,Oficina de DAES-NURR Departamento de asuntos estudiantiles
C,1,Oficina,,,Oficina de Centro de estudiantes CENURR
C,1,Sala,,,Sala de cine
C,1,Laboratorio,,,Laboratorio de Audiovisual
C,1,Oficina,,,Oficina de APULA Asociación de profesores ULA
C,1,Oficina,,,Oficina de UPP Instituto de prevision de profesorado de ula
C,2,Oficina,,,Unidad de caja
C,2,Oficina,,,Unidad de servicios generales
C,2,Oficina,,,Unidad de apoyo administrativo
C,2,Oficina,,inacion de servicios generales,Oficina de
C,2,Oficina,,inacion administrativa,Oficina de
C,2,Oficina,,,Oficina de Contabilidad
C,2,Oficina,,,Oficina de Control de bienes
C,3,Aula,,,Aulas D301-D308
D,0,Oficina,,,"Oficina de Area de ingeniería, suelos y agua"
D,0,Laboratorio,,,Laboratorio de hidraulica
D,1,Oficina,,,Oficina de GISA Grupo de ingenieria suelos y agua
D,1,Laboratorio,,,Laboratorio de Deafología
D,1,Laboratorio,,,Laboratorio de servicios de análisis de suelos
D,1,Laboratorio,,,Laboratorio de manejo de fertilidad de suelos
D,1,Laboratorio,,,Laboratorio de reproduccion e inseminación artifical
D,1,Laboratorio,,,Laboratorio de investigación de suelos
D,1,Laboratorio,,,Laboratorio de nutrición animal
D,1,Laboratorio,,,Laboratorio de parasitología
D,2,Departamento,,,Departamento de Ingeniería
D,3,Aula,,,Aulas D301-D308
F,0,Oficina,,,Oficina de Publicaciones periodicas (Emeroteca)
F,0,Sala,,,Sala de prestamos
F,0,Sala,,,Sala de derecho
F,1,Oficina,,,Oficina de Dirección biblioteca / Servicios bibliotecarios NURR
F,1,Oficina,,,Oficina de Secretaria de los servicios bibliotecarios del NURR
F,1,Sala,,,Sala de referencia
F,1,Sala,,,Sala procesos tecnicos
F,2,Laboratorio,,,Laboratorio de computacion F201
F,2,Laboratorio,,,Laboratorio de computacion EF-207
F,2,Laboratorio,,,Laboratorio de computación EF-220
F,3,Oficina,,,Oficina de Area de historia y antropologia
F,3,Sala,,,Sala de investigación en lenguas extranjeras
F,3,Sala,,,Sala de Reading room
F,3,Sala,,,Sala de Biblioteca de francés
F,3,Sala,,,Sala de geografía
