torre,piso,tipo,ext,coordinador,nombre
A,0,Laboratorio,5605,,Laboratorio de demostración de la física
A,0,Laboratorio,5594,,Laboratorio de Física I y II
A,0,Laboratorio,5592,,Laboratorio de Termodinámica
A,0,Oficina,5590,,Oficina GRINCEF Grupo de investigación científica y de la enseñanza de la física
A,0,Laboratorio,5602,,Laboratorio de física
A,0,Sala,,,Sala de profesores
A,0,Laboratorio,5604,,Laboratorio de Física I
A,1,Laboratorio,5588,,Laboratorio de Genética y microbiología
A,1,Laboratorio,,,Laboratorio de Bioquímica
A,1,Laboratorio,5583,,Laboratorio de Biología animal y humana
A,1,Laboratorio,5647,,Laboratorio de Fisiología vegetal
A,1,Sala,,,Sala de secado
A,1,Sala,,,Sala de preparación
A,1,Laboratorio,5587,,"Laboratorio de Biología vegetal, botánica y morfoanatomía vegetal"
A,2,Laboratorio,5633,,Laboratorio de Química orgánica
A,2,Laboratorio,5584,,Laboratorio de química general
A,2,Sala,,,Sala de reactivos sólidos
A,2,Sala,,,Sala de reactivos líquidos
A,2,Laboratorio,,,Laboratorio de química analítica
A,2,Sala,,,Sala de estudio
A,2,Sala,,,Sala de preparación de reactivos
A,2,Laboratorio,5597,,Laboratorio de bioquímica
A,3,Laboratorio,,,Laboratorio de investigación de parásitos (LIEM)
A,3,Laboratorio,5596,,Laboratorio de análisis instrumental
A,3,Laboratorio,5593,,Laboratorio de química Ambiental
A,3,Laboratorio,5648,,Laboratorio de productos naturales
B,0,Aula,,,Aulas B0001-B008
B,1,Aula,,,Aulas B1001-B108
B,2,Aula,,,Aulas B2001-B208
B,3,Aula,,,Aulas B3001-B308
C,0,Oficina,,,"Oficina Área de mecánica, estructura y resistencia de materiales"
C,0,Laboratorio,5608,,Laboratorio de materiales y ensayos
C,0,Laboratorio,,,Laboratorio de topografía
C,0,Oficina,,,Oficina de Centro de copiado
C,0,Oficina,,,Oficina de Proveduría y papelería
